,Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды,Расход пресной воды
0,2022-01-01 00:00:00,5.5,14,5.4,14,66,3,58,53,73,0.8,52,53,42,8,13,57,3.3,3.1,62,263.8,0.4,14,58,3.3,3.1,62,127.7,0.4,150,50.786,0,35,5
1,2022-01-01 02:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,259.8,0.4,13,61,3.3,3.1,62,129.1,0.4,165,57.258,0,35,5
2,2022-01-01 04:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,266.3,0.4,13,61,3.3,3.1,62,128.7,0.4,177,62.391,0,35,5
3,2022-01-01 06:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,266.4,0.4,13,61,3.3,3.1,62,130,0.4,193,69.112,0,35,5
4,2022-01-01 08:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,266.4,0.4,13,61,3.3,3.1,62,130,0.4,83,22.827,0,35,5
5,2022-01-01 10:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,260,0.4,13,61,3.3,3.1,62,135,0.4,102,30.403,0,35,5
6,2022-01-01 12:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,260,0.4,13,61,3.3,3.1,62,135,0.4,119,37.486,0,35,7
7,2022-01-01 14:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,222,0.4,13,61,3.3,3.1,62,133,0.4,140,46.468,0,35,9
8,2022-01-01 16:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,222,0.4,13,61,3.3,3.1,62,133,0.4,155,52.947,0,35,9
9,2022-01-01 18:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,222,0.4,13,61,3.3,3.1,62,133,0.4,173,60.687,0,35,9
10,2022-01-01 20:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,253.2,0.4,13,61,3.3,3.1,62,128.1,0.4,195,69.938,0,35,9
11,2022-01-01 22:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,262,0.4,13,61,3.3,3.1,62,233,0.4,169,58.975,0,35,9.5
12,2022-01-02 00:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,43,8,13,58,3.3,3.1,62,149,0.4,13,61,3.3,3.1,62,217.8,0.4,99,29.18,0,35,8
13,2022-01-02 02:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,131.7,0.4,13,61,3.3,3.1,62,133.4,0.4,119,37.486,0,35,8
14,2022-01-02 04:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,131.7,0.4,13,61,3.3,3.1,62,133.4,0.4,137,45.176,0,35,8
15,2022-01-02 06:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,255.1,0.4,13,61,3.3,3.1,62,125.4,0.4,157,53.81,0,35,8
16,2022-01-02 08:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,138.6,0.4,13,61,3.3,3.1,62,239.2,0.4,174,61.114,0,35,9
17,2022-01-02 10:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,138.6,0.4,13,61,3.3,3.1,62,239.2,0.4,72,18.667,0,35,9
18,2022-01-02 12:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,138.6,0.4,13,61,3.3,3.1,62,239.2,0.4,99,29.18,0,35,9
19,2022-01-02 14:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,260.1,0.4,13,61,3.3,3.1,62,125.7,0.4,121,38.333,0,35,9
20,2022-01-02 16:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,260.1,0.4,13,61,3.3,3.1,62,125.7,0.4,141,46.899,0,35,9
21,2022-01-02 18:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,260.1,0.4,13,61,3.3,3.1,62,125.7,0.4,163,56.397,0,35,8
22,2022-01-02 20:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,144.6,0.4,13,61,3.3,3.1,62,127.5,0.4,184,65.353,0,35,8
23,2022-01-02 22:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,260.6,0.4,13,61,3.3,3.1,62,128.6,0.4,209,75.611,0,35,8.5
24,2022-01-03 00:00:00,5.6,13,5.2,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,250.6,0.4,13,61,3.3,3.1,62,244.2,0.4,98,28.774,0,35,9
25,2022-01-03 02:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,245.2,0.4,13,61,3.3,3.1,62,127.2,0.4,122,38.757,0,35,9
26,2022-01-03 04:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,165.1,0.4,13,61,3.3,3.1,62,126.7,0.4,144,48.194,0,35,9
27,2022-01-03 06:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,226.7,0.4,13,61,3.3,3.1,62,124.8,0.4,166,57.688,0,35,9
28,2022-01-03 08:00:00,5.6,13,5.4,13,65,3,58,54,73,0.8,55,53,45,8,13,58,3.3,3.1,62,227,0.4,13,61,3.3,3.1,62,125,0.4,88,24.777,0,35,9
