,Дата,Расход пресной воды
0,2023-01-01 00:00:00,8.7
2,2023-01-01 04:00:00,8.8
3,2023-01-01 06:00:00,8.8
4,2023-01-01 08:00:00,8.8
5,2023-01-01 10:00:00,8.8
6,2023-01-01 12:00:00,8.8
7,2023-01-01 14:00:00,8.7
8,2023-01-01 16:00:00,8.7
9,2023-01-01 18:00:00,8.7
10,2023-01-01 20:00:00,8.7
11,2023-01-01 22:00:00,8.7
12,2023-01-02 00:00:00,8.7
13,2023-01-01 02:00:00,8.8
14,2023-01-02 04:00:00,8.8
15,2023-01-02 06:00:00,8.8
16,2023-01-02 08:00:00,8.8
17,2023-01-02 10:00:00,8.8
18,2023-01-02 12:00:00,8.8
19,2023-01-02 14:00:00,8.7
20,2023-01-02 16:00:00,8.5
21,2023-01-02 18:00:00,8
22,2023-01-02 20:00:00,8
23,2023-01-02 22:00:00,8
24,2023-01-03 00:00:00,8
25,2023-01-02 02:00:00,8
26,2023-01-03 04:00:00,8
27,2023-01-03 06:00:00,8
28,2023-01-03 08:00:00,8
29,2023-01-03 10:00:00,7.8
30,2023-01-03 12:00:00,7.6
31,2023-01-03 14:00:00,7.6
32,2023-01-03 16:00:00,7.6
33,2023-01-03 18:00:00,7.6
34,2023-01-03 20:00:00,7.6
35,2023-01-03 22:00:00,7.6
36,2023-01-04 00:00:00,7.6
37,2023-01-03 02:00:00,8.2
38,2023-01-04 04:00:00,8.2
39,2023-01-04 06:00:00,8.2
40,2023-01-04 08:00:00,8.2
41,2023-01-04 10:00:00,8.2
42,2023-01-04 12:00:00,8.2
43,2023-01-04 14:00:00,8.3
44,2023-01-04 16:00:00,8.3
45,2023-01-04 18:00:00,8.3
46,2023-01-04 20:00:00,8.3
47,2023-01-04 22:00:00,8.3
48,2023-01-05 00:00:00,8.3
49,2023-01-04 02:00:00,8.2
50,2023-01-05 04:00:00,8.2
51,2023-01-05 06:00:00,8.2
52,2023-01-05 08:00:00,8.7
53,2023-01-05 10:00:00,8.8
54,2023-01-05 12:00:00,8.9
55,2023-01-05 14:00:00,9
56,2023-01-05 16:00:00,9
57,2023-01-05 18:00:00,9
58,2023-01-05 20:00:00,9
59,2023-01-05 22:00:00,9
60,2023-01-06 00:00:00,9
61,2023-01-05 02:00:00,9
62,2023-01-06 04:00:00,9
63,2023-01-06 06:00:00,9.1
64,2023-01-06 08:00:00,9.1
65,2023-01-06 10:00:00,9.1
66,2023-01-06 12:00:00,9.1
67,2023-01-06 14:00:00,9.1
68,2023-01-06 16:00:00,9.1
69,2023-01-06 18:00:00,9.1
70,2023-01-06 20:00:00,9.1
71,2023-01-06 22:00:00,9.1
73,2023-01-06 02:00:00,9
84,2023-01-08 00:00:00,8.5
86,2023-01-08 04:00:00,8.9
87,2023-01-08 06:00:00,9
88,2023-01-08 08:00:00,8.9
89,2023-01-08 10:00:00,8.9
90,2023-01-08 12:00:00,8.9
91,2023-01-08 14:00:00,8.9
92,2023-01-08 16:00:00,8.9
93,2023-01-08 18:00:00,8.9
94,2023-01-08 20:00:00,8.9
95,2023-01-08 22:00:00,8.9
96,2023-01-09 00:00:00,8.9
97,2023-01-08 02:00:00,9
98,2023-01-09 04:00:00,9
99,2023-01-09 06:00:00,9
100,2023-01-09 08:00:00,9
101,2023-01-09 10:00:00,9
102,2023-01-09 12:00:00,9
