,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
0,2024-04-01 00:20:00,АСН-2,42.6
1,2024-04-01 01:00:00,ЭДГ-1/2,35.5
2,2024-04-01 04:00:00,ЭДГ-1/1,40.9
3,2024-04-01 05:00:00,БМ,15942.3
4,2024-04-01 07:00:00,ЭДГ-1/2,33.1
5,2024-04-01 10:00:00,ЭДГ-1/1,43.5
6,2024-04-01 13:00:00,ЭДГ-1/2,28.4
7,2024-04-01 14:00:00,АСН-1,21.3
8,2024-04-01 16:00:00,ЭДГ-1/1,44.4
9,2024-04-01 19:00:00,ЭДГ-1/2,40.9
10,2024-04-01 21:00:00,БМ Сут,15001.9
11,2024-04-01 22:00:00,ЭДГ-1/1,72.1
12,2024-04-01 22:00:00,АСН1-8,36.1
13,2024-04-02 01:00:00,АСН-2,43.3
14,2024-04-02 01:00:00,ЭДГ-1/2,21.6
15,2024-04-02 04:00:00,ЭДГ-1/1,67.3
16,2024-04-02 05:00:00,БМ,14924.4
17,2024-04-02 07:00:00,ЭДГ-1/2,23.7
18,2024-04-02 10:00:00,ЭДГ-1/1,85
19,2024-04-02 13:00:00,ЭДГ-1/2,23.6
20,2024-04-02 14:00:00,АСН-2,21.4
21,2024-04-02 16:00:00,ЭДГ-1/1,24.8
22,2024-04-02 19:00:00,ЭДГ-1/2,61.3
23,2024-04-02 21:00:00,БМ Сут,16986
24,2024-04-02 22:00:00,ЭДГ-1/1,70.8
25,2024-04-02 22:00:00,АСН1-8,48.4
26,2024-04-03 01:00:00,АСН-2,42.5
27,2024-04-03 01:00:00,ЭДГ-1/2,46
28,2024-04-03 04:00:00,ЭДГ-1/1,44.8
29,2024-04-03 05:00:00,БМ,17436.9
30,2024-04-03 07:00:00,ЭДГ-1/2,68.4
31,2024-04-03 10:00:00,ЭДГ-1/1,35.4
32,2024-04-03 13:00:00,ЭДГ-1/2,56.6
33,2024-04-03 14:00:00,АСН-1,18.6
34,2024-04-03 16:00:00,ЭДГ-1/1,23.6
35,2024-04-03 19:00:00,ЭДГ-1/2,63.7
36,2024-04-03 21:00:00,БМ Сут,18211
37,2024-04-03 22:00:00,ЭДГ-1/1,62.5
38,2024-04-03 22:00:00,ЭДГ-1/2,59
39,2024-04-03 22:00:00,АСН1-8,33
40,2024-04-04 01:00:00,АСН-2,37.8
41,2024-04-04 01:00:00,ЭДГ-1/2,28.3
42,2024-04-04 04:00:00,ЭДГ-1/1,30.1
43,2024-04-04 05:00:00,БМ,19868.8
44,2024-04-04 07:00:00,ЭДГ-1/2,21.1
45,2024-04-04 10:00:00,ЭДГ-1/1,23.6
46,2024-04-04 13:00:00,ЭДГ-1/2,42.2
47,2024-04-04 14:00:00,АСН-1,19.9
48,2024-04-04 16:00:00,ЭДГ-1/1,32.4
49,2024-04-04 19:00:00,ЭДГ-1/2,44.8
50,2024-04-04 21:00:00,БМ Сут,16445.2
51,2024-04-04 22:00:00,ЭДГ-1/1,75.5
52,2024-04-04 22:00:00,АСН1-8,34.8
53,2024-04-05 00:25:00,АСН-1,69.6
54,2024-04-05 01:00:00,ЭДГ-1/2,48.4
55,2024-04-05 04:00:00,ЭДГ-1/1,35.4
56,2024-04-05 05:00:00,БМ,16027.3
57,2024-04-05 07:00:00,ЭДГ-1/2,49.6
58,2024-04-05 10:00:00,ЭДГ-1/1,61.4
59,2024-04-05 13:00:00,ЭДГ-1/2,35.4
60,2024-04-05 14:00:00,АСН-1,35.4
61,2024-04-05 16:00:00,ЭДГ-1/1,54.3
62,2024-04-05 19:00:00,ЭДГ-1/2,47.2
63,2024-04-05 21:00:00,БМ Сут,"17,008,2"
64,2024-04-05 22:00:00,ЭДГ-1/1,46
65,2024-04-05 22:00:00,АСН1-8,37.8
66,2024-04-06 00:20:00,АСН-1,35.4
67,2024-04-06 01:00:00,ЭДГ-1/2,35.4
68,2024-04-06 04:00:00,ЭДГ-1/1,55.5
69,2024-04-06 05:00:00,БМ,16572.1
70,2024-04-06 07:00:00,ЭДГ-1/2,33
71,2024-04-06 10:00:00,ЭДГ-1/1,47.2
72,2024-04-06 13:00:00,ЭДГ-1/2,45.2
73,2024-04-06 14:00:00,АСН-1,36.6
74,2024-04-06 16:00:00,ЭДГ-1/1,23.6
75,2024-04-06 19:00:00,ЭДГ-1/2,85
76,2024-04-06 21:00:00,БМ Сут,17427.8
77,2024-04-06 22:00:00,ЭДГ-1/1,53.1
78,2024-04-06 22:00:00,АСН1-8,35.4
79,2024-04-07 01:00:00,АСН-1,46
80,2024-04-07 01:00:00,ЭДГ-1/2,40.1
81,2024-04-07 04:00:00,ЭДГ-1/1,33
82,2024-04-07 05:00:00,БМ,17023.3
83,2024-04-07 07:00:00,ЭДГ-1/2,47.2
84,2024-04-07 10:00:00,ЭДГ-1/1,51.9
85,2024-04-07 13:00:00,ЭДГ-1/2,62.5
86,2024-04-07 14:00:00,АСН-1,23.6
87,2024-04-07 16:00:00,ЭДГ-1/1,32.6
