,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
668,АСН-2,114.1,2023-03-07 22:20:00
671,КСУ СУТ,54.2,2023-03-07 23:00:00
672,АСН-3,94.1,2023-03-08 00:10:00
673,КСУ-БЕН-1,201.6,2023-03-08 03:00:00
674,БЕН-8,75.4,2023-03-08 04:30:00
675,АСН-2,77.4,2023-03-08 08:35:00
676,КСУ-БЕН-8,167.8,2023-03-08 10:00:00
677,АСН-2,53,2023-03-08 14:15:00
678,КСУ-БЕН-3,173.1,2023-03-08 16:00:00
680,АСН-1-6,37.5,2023-03-08 22:00:00
683,КСУ СУТ,184.5,2023-03-08 23:00:00
684,АСН-3,145,2023-03-09 00:10:00
685,АСН-2,181.4,2023-03-09 02:10:00
687,БМ,8898.2,2023-03-09 03:30:00
688,АСН-2,122.3,2023-03-09 04:50:00
689,КСУ БЕН-6,203,2023-03-09 07:00:00
690,АСН-3,96.4,2023-03-09 08:10:00
692,АСН-2,82.1,2023-03-09 13:00:00
693,КСУ БЕН-8,271,2023-03-09 16:00:00
694,БМ,8404.26,2023-03-09 17:00:00
695,КСУ БЕН-8,173.9,2023-03-09 20:00:00
697,АСН-1-6,93.9,2023-03-09 22:00:00
700,КСУ СУТ,182.8,2023-03-09 23:00:00
701,АСН-2,126.5,2023-03-10 00:05:00
702,КСУ БЕН-6,198.9,2023-03-10 04:00:00
703,АСН-2,120,2023-03-10 07:30:00
704,КСУ БЕН-3,189.1,2023-03-10 10:00:00
705,АСН-2,100.8,2023-03-10 13:30:00
706,КСУ БЕН-9,211.2,2023-03-10 16:00:00
707,БМ,10498.7,2023-03-10 17:00:00
708,КСУ БЕН-7,187.8,2023-03-10 19:30:00
710,АСН 1-6,81.1,2023-03-10 22:00:00
713,КСУ СУТ,62.5,2023-03-10 23:00:00
714,АСН-2,70.2,2023-03-11 00:15:00
715,КСУ-БЕН-7,354.8,2023-03-11 04:00:00
716,АСН-3,135,2023-03-11 07:30:00
717,КСУ-БЕН-1,194.2,2023-03-11 10:00:00
718,АСН-2,104.4,2023-03-11 14:30:00
719,КСУ-БЕН-4,218.6,2023-03-11 16:00:00
721,АСН 1-6,46.9,2023-03-11 22:00:00
724,КСУ СУТ,66.4,2023-03-11 23:00:00
725,АСН-3,80.2,2023-03-12 00:10:00
726,КСУ-БЕН-1,138.5,2023-03-12 04:00:00
727,АСН-2,147.9,2023-03-12 08:10:00
728,КСУ-БЕН-4,170.7,2023-03-12 10:00:00
729,АСН-2,67.3,2023-03-12 13:10:00
730,КСУ-БЕН-7,151.5,2023-03-12 16:00:00
732,АСН 1-6,52.7,2023-03-12 22:00:00
735,КСУ СУТ,144.4,2023-03-12 23:00:00
736,АСН-2,97.6,2023-03-13 00:10:00
737,КСУ БЕН-1,207.3,2023-03-13 02:00:00
738,КСУ БЕН-5,181.3,2023-03-13 04:00:00
739,АСН-3,89.3,2023-03-13 07:10:00
740,КСУ БЕН-8,234,2023-03-13 10:00:00
741,АСН-2,67.9,2023-03-13 13:00:00
742,КСУ БЕН-3,196.7,2023-03-13 16:00:00
744,АСН 1-6,68.6,2023-03-13 22:00:00
747,КСУ СУТ,67.6,2023-03-13 23:00:00
748,АСН-2,76,2023-03-14 00:10:00
749,КСУ-БЕН-4,134.8,2023-03-14 04:00:00
750,АСН-2,50.7,2023-03-14 07:30:00
751,КСУ-БЕН-7,163.4,2023-03-14 10:00:00
752,КСУ БЕН-1,221.9,2023-03-14 16:00:00
754,АСН 1-6,85.3,2023-03-14 22:00:00
757,КСУ СУТ,85.7,2023-03-14 23:00:00
758,КСУ БЕН-2,247.1,2023-03-15 02:00:00
759,КСУ БЕН-5,231.7,2023-03-15 04:00:00
760,АСН-2,160.8,2023-03-15 07:30:00
761,КСУ БЕН-1,240.2,2023-03-15 10:00:00
762,АСН-2,152.9,2023-03-15 12:40:00
763,КСУ БЕН-2,256.5,2023-03-15 14:00:00
764,АСН-2,150,2023-03-15 15:30:00
765,КСУ БЕН-4,174,2023-03-15 16:00:00
766,КСУ БЕН-2,152,2023-03-15 19:00:00
768,АСН 1-6,88,2023-03-15 22:00:00
771,КСУ СУТ,125.9,2023-03-15 23:00:00
772,АСН-3,70.6,2023-03-16 00:10:00
773,КСУ БЕН-2,120.5,2023-03-16 04:00:00
774,АСН-3,60.5,2023-03-16 07:30:00
775,КСУ-БЕН-4,131.3,2023-03-16 10:00:00
776,АСН-3,78.4,2023-03-16 13:30:00
777,КСУ-БЕН-6,177.3,2023-03-16 16:00:00
779,АСН 1-6,53.9,2023-03-16 22:00:00
782,КСУ СУТ,"55,8,",2023-03-16 23:00:00
783,АСН-3,94.9,2023-03-17 00:10:00
784,КСУ-БЕН-4,173,2023-03-17 04:00:00
785,АСН-2,82.6,2023-03-17 07:00:00
786,КСУ-БЕН-6,192.1,2023-03-17 10:00:00
787,АСН-3,62.8,2023-03-17 13:00:00
788,КСУ-БЕН-1,159.1,2023-03-17 16:00:00
790,АСН 1-6,41.1,2023-03-17 22:00:00
793,КСУ СУТ,61.5,2023-03-17 23:00:00
794,АСН-3,65.1,2023-03-18 00:10:00
795,КСУ БЕН-8,190,2023-03-18 04:00:00
796,АСН-2,127.6,2023-03-18 07:30:00
797,КСУ БЕН-3,178.5,2023-03-18 10:00:00
798,АСН-3,99.1,2023-03-18 15:30:00
799,КСУ БЕН-5,191.9,2023-03-18 16:00:00
801,АСН 1-6,30.3,2023-03-18 22:00:00
804,КСУ СУТ,57.7,2023-03-18 23:00:00
805,АСН-3,94.3,2023-03-19 00:10:00
806,КСУ-БЕН-1,156.9,2023-03-19 04:00:00
807,АСН-3,113.1,2023-03-19 07:20:00
808,КСУ БЕН-3,207.7,2023-03-19 10:00:00
809,КСУ БЕН-5,161.6,2023-03-19 11:00:00
810,АСН-3,96.8,2023-03-19 13:00:00
811,КСУ-БЕН-5,206.9,2023-03-19 16:00:00
813,АСН 1-6,33.4,2023-03-19 22:00:00
816,КСУ СУТ,324.7,2023-03-19 23:00:00
817,АСН-3,123.4,2023-03-20 00:10:00
818,КСУ-БЕН-1,176.6,2023-03-20 04:00:00
819,АСН-3,125.3,2023-03-20 07:20:00
820,КСУ-БЕН-3,196.1,2023-03-20 10:00:00
821,АСН-3,85.8,2023-03-20 13:10:00
822,КСУ-БЕН-1,190.8,2023-03-20 14:00:00
823,КСУ-БЕН-5,225.7,2023-03-20 16:00:00
824,АСН-3,129.3,2023-03-20 18:00:00
825,БМ,5753,2023-03-20 18:30:00
826,КСУ-БЕН-2,166.4,2023-03-20 19:00:00
827,АСН-2,108.6,2023-03-20 20:30:00
828,КСУ-БЕН-8,153.8,2023-03-20 21:30:00
829,АСН 1-6,97.9,2023-03-20 22:00:00
832,КСУ СУТ,86.9,2023-03-20 23:00:00
851,КСУ СУТ,51.6,
852,АСН-2,107.9,2023-03-22 00:20:00
853,КСУ БЕН-7,155.3,2023-03-22 02:00:00
854,КСУ БЕН-2,127.9,2023-03-22 04:00:00
855,КСУ БЕН-5,126.6,2023-03-22 06:00:00
856,АСН-2,104.5,2023-03-22 06:50:00
857,КСУ БЕН-4,159.3,2023-03-22 10:00:00
858,КСУ БЕН-3,151.9,2023-03-22 14:00:00
859,КСУ БЕН-4,117.8,2023-03-22 16:00:00
860,АСН-3,84.2,2023-03-22 17:30:00
861,КСУ БЕН-4,151.3,2023-03-22 20:00:00
863,АСН 1-6,82.8,2023-03-22 22:00:00
866,КСУ СУТ,139.9,2023-03-22 23:00:00
867,АСН-2,87.1,2023-03-24 00:10:00
868,КСУ БЕН-3,174.4,2023-03-24 04:00:00
869,АСН-3,112.9,2023-03-24 08:40:00
870,КСУ БЕН-5,123.1,2023-03-24 10:00:00
872,АСН 1-6,13.5,2023-03-24 22:00:00
875,КСУ СУТ,198,2023-03-24 23:00:00
876,АСН-2,72.7,2023-03-25 00:20:00
877,КСУ БЕН-1,113.2,2023-03-25 04:00:00
878,КСУ БЕН-8,126.3,2023-03-25 06:00:00
879,АСН-2,63.2,2023-03-25 08:10:00
880,КСУ БЕН-3,111,2023-03-25 12:00:00
881,АСН-2,63.7,2023-03-25 14:20:00
882,КСУ БЕН-8,137.9,2023-03-25 16:00:00
884,АСН-2,105.5,2023-03-25 18:30:00
886,АСН1-6,80.3,2023-03-25 22:00:00
889,КСУ-СУТ,67.8,2023-03-25 23:00:00
890,АСН-2,71.2,2023-03-26 00:25:00
891,КСУ БЕН-5,106.9,2023-03-26 04:00:00
892,АСН-2,97.5,2023-03-26 08:10:00
893,КСУ БЕН-7,93.6,2023-03-26 10:00:00
894,АСН-2,83.4,2023-03-26 14:20:00
895,КСУ БЕН-7,133.1,2023-03-26 16:00:00
897,АСН 1-6,77.4,2023-03-26 22:00:00
900,КСУ СУТ,122.1,2023-03-26 23:00:00
901,АСН-2,63.7,2023-03-27 00:30:00
902,КСУ БЕН-5,133.2,2023-03-27 01:00:00
904,АСН-2,98.3,2023-03-27 04:00:00
905,БМ,10488.3,2023-03-27 06:00:00
906,АСН-2,84.1,2023-03-27 09:40:00
907,КСУ БЕН-1,134,2023-03-27 10:00:00
908,АСН-2,99.3,2023-03-27 14:05:00
910,АСН1-6,86.2,2023-03-27 22:00:00
913,КСУ СУТ,158,2023-03-27 23:00:00
914,АСН-2,84.6,2023-03-28 00:20:00
916,БМ,9132.1,2023-03-28 04:00:00
917,АСН-2,99.3,2023-03-28 08:10:00
918,КСУ БЕН-9,121.7,2023-03-28 10:00:00
919,АСН-2,60.8,2023-03-28 14:20:00
920,КСУ БЕН-1,128.3,2023-03-28 16:00:00
922,КСУ БЕН-5,181.1,2023-03-28 22:00:00
925,КСУ СУТ,124.3,2023-03-28 23:00:00
926,АСН-2,70.3,2023-03-29 00:35:00
927,КСУ БЕН-5,98.1,2023-03-29 02:00:00
928,КСУ БЕН-7,147.9,2023-03-29 04:00:00
929,БМ,7877,2023-03-29 06:00:00
930,АСН-3,87.3,2023-03-29 08:10:00
931,КСУ БЕН-9,118.2,2023-03-29 10:00:00
932,АСН-2,76.2,2023-03-29 14:20:00
933,КСУ БЕН-1,139.3,2023-03-29 16:00:00
935,КСУ БЕН-3,171.7,2023-03-29 22:00:00
938,КСУ СУТ,54.7,2023-03-29 23:00:00
939,АСН-2,96.1,2023-03-30 00:30:00
941,БМ,9710.6,2023-03-30 04:00:00
942,АСН-3,90.4,2023-03-30 08:20:00
943,КСУ БЕН-4,212.4,2023-03-30 11:00:00
944,АСН-3,87.1,2023-03-30 14:50:00
945,КСУ БЕН-6,196.4,2023-03-30 16:00:00
947,КСУ БЕН-8,174,2023-03-30 17:00:00
948,КСУ БЕН-3,132.1,2023-03-30 19:00:00
950,КСУ БЕН-7,132.4,2023-03-30 22:00:00
953,КСУ СУТ,87.6,2023-03-30 23:00:00
954,АСН-2,69.9,2023-03-31 00:30:00
956,АСН-2,78.8,2023-03-31 04:00:00
957,АСН-2,69.7,2023-03-31 08:20:00
958,КСУ БЕН-2,117.3,2023-03-31 10:00:00
960,КСУ БЕН-3,105.5,2023-03-31 14:00:00
961,КСУ БЕН-6,108.1,2023-03-31 16:00:00
963,КСУ БЕН-7,112.5,2023-03-31 22:00:00
965,БМ,8464.2,2023-03-31 23:00:00
